"user_id","country","gender","device","test_group","conversion","total_spent"
"1041787","Germany","Female","iOS","Control","1","1659.40"
"1022805","United Kingdom","Male","iOS","Treatment","1","1546.30"
"1008085","USA","Male","Android","Control","1","1266.80"
"1009288","Brazil","Female","iOS","Treatment","1","1094.80"
"1001037","USA","Female","iOS","Treatment","1","879.10"
"1023745","Brazil","Female","iOS","Treatment","1","872.90"
"1009810","Brazil","Female","iOS","Control","1","854.80"
"1003941","Mexico","","","Control","1","844.70"
"1025097","United Kingdom","Female","Android","Treatment","1","836.68"
"1017574","Brazil","Female","Android","Treatment","1","831.60"
"1008198","Brazil","","Android","Treatment","1","771.90"
"1016433","Mexico","Female","iOS","Treatment","1","765.10"
"1020325","USA","Male","iOS","Control","1","761.14"
"1013863","USA","Female","Android","Treatment","1","761.10"
"1019907","Turkey","Female","Android","Control","1","745.80"
"1016223","Brazil","Female","Android","Control","1","682.30"
"1038098","Mexico","Female","Android","Treatment","1","579.10"
"1022692","USA","Female","iOS","Control","1","523.60"
"1009232","USA","","iOS","Control","1","454.20"
"1049659","USA","","iOS","Control","1","447.60"
"1027975","Turkey","Female","iOS","Control","1","430.50"
"1027401","USA","Female","iOS","Treatment","1","425.90"
"1043835","USA","Female","Android","Control","1","425.40"
"1049704","USA","Female","iOS","Control","1","405.80"
"1018502","Germany","Male","iOS","Control","1","400.90"
"1048541","United Kingdom","Female","Android","Treatment","1","375.80"
"1044543","USA","Male","iOS","Treatment","1","351.50"
"1019940","Mexico","Female","iOS","Control","1","335.10"
"1046581","France","Female","iOS","Control","1","333.79"
"1030201","Brazil","","iOS","Treatment","1","315.80"
"1001425","USA","Male","Android","Treatment","1","309.80"
"1011140","United Kingdom","Other","Android","Control","1","291.90"
"1002163","USA","Female","Android","Control","1","274.29"
"1021115","Turkey","Female","iOS","Treatment","1","272.97"
"1036281","Spain","Male","iOS","Treatment","1","267.80"
"1042424","USA","Female","Android","Treatment","1","262.29"
"1025024","Turkey","Female","iOS","Control","1","256.66"
"1003488","Brazil","Male","iOS","Control","1","255.66"
"1028578","","Female","Android","Control","1","250.20"
"1035052","Germany","Female","iOS","Treatment","1","248.97"
"1016281","USA","","iOS","Treatment","1","248.11"
"1014183","USA","Female","Android","Treatment","1","247.92"
"1037296","Brazil","Male","iOS","Control","1","243.56"
"1028184","USA","Male","Android","Treatment","1","239.21"
"1022237","United Kingdom","","iOS","Treatment","1","237.73"
"1037883","Mexico","","iOS","Control","1","237.45"
"1047128","USA","Female","iOS","Treatment","1","237.01"
"1028295","Mexico","Male","iOS","Control","1","234.41"
"1003875","USA","","iOS","Treatment","1","233.25"
"1047029","USA","","Android","Treatment","1","229.81"
"1022033","Brazil","Female","Android","Control","1","229.70"
"1044101","Turkey","Female","Android","Control","1","229.02"
"1041343","Spain","Female","iOS","Treatment","1","228.20"
"1010867","Canada","Female","Android","Control","1","223.67"
"1005885","Turkey","Other","iOS","Treatment","1","221.85"
"1028961","USA","Male","iOS","Control","1","220.27"
"1035132","USA","Male","Android","Treatment","1","217.72"
"1006290","Spain","Female","iOS","Treatment","1","215.99"
"1035885","USA","Female","iOS","Control","1","215.49"
"1024518","Brazil","Male","Android","Control","1","215.42"
"1026527","USA","Male","iOS","Control","1","213.60"
"1019618","Spain","Other","iOS","Treatment","1","211.78"
"1019210","Brazil","Female","iOS","Control","1","208.73"
"1000261","Turkey","Female","Android","Control","1","205.98"
"1032793","USA","Female","iOS","Control","1","204.69"
"1030245","Germany","Female","Android","Control","1","202.80"
"1029758","Mexico","Female","iOS","Treatment","1","201.96"
"1011339","Germany","Female","Android","Treatment","1","201.66"
"1038439","Brazil","Female","Android","Control","1","200.89"
"1015397","Spain","","iOS","Treatment","1","200.67"
"1019139","Canada","Female","iOS","Treatment","1","198.60"
"1040652","Mexico","Female","iOS","Control","1","196.70"
"1045615","United Kingdom","Female","iOS","Control","1","195.80"
"1036174","Brazil","Other","iOS","Control","1","195.46"
"1014964","Mexico","Female","iOS","Control","1","195.25"
"1022043","Mexico","","Android","Treatment","1","194.40"
"1022467","Canada","Male","Android","Control","1","193.85"
"1038905","France","Female","Android","Control","1","193.70"
"1018350","United Kingdom","Male","iOS","Control","1","193.24"
"1010495","USA","Female","Android","Control","1","191.35"
"1044694","Brazil","","Android","Treatment","1","190.91"
"1014949","Brazil","","iOS","Control","1","190.77"
"1004133","Turkey","Female","Android","Treatment","1","190.37"
"1020103","USA","Male","Android","Treatment","1","190.30"
"1035018","Mexico","Female","iOS","Treatment","1","188.95"
"1002492","Brazil","Female","Android","Control","1","188.92"
"1037673","Spain","Other","iOS","Control","1","188.80"
"1045347","United Kingdom","Female","iOS","Treatment","1","188.52"
"1011478","Brazil","Female","Android","Control","1","188.37"
"1035073","USA","","iOS","Treatment","1","188.31"
"1003174","Mexico","Female","iOS","Control","1","187.52"
"1049880","Turkey","Male","iOS","Control","1","186.69"
"1044066","USA","Female","iOS","Treatment","1","185.26"
"1004990","Turkey","Male","","Treatment","1","185.04"
"1037215","Germany","Female","iOS","Control","1","184.75"
"1017671","Germany","Male","Android","Treatment","1","182.93"
"1003148","Brazil","Male","iOS","Treatment","1","182.71"
"1019209","United Kingdom","Female","iOS","Treatment","1","180.92"
"1047194","France","Female","iOS","Control","1","180.65"
"1019937","Germany","Female","Android","Control","1","180.38"
"1032555","Brazil","Male","iOS","Control","1","180.32"
"1002807","Mexico","","Android","Control","1","178.88"
"1043645","Brazil","Male","iOS","Treatment","1","178.14"
"1007878","Brazil","Male","Android","Treatment","1","177.72"
"1007249","Brazil","Male","iOS","Control","1","176.88"
"1038282","USA","Male","Android","Treatment","1","176.86"
"1045250","USA","Male","Android","Control","1","176.86"
"1000669","Brazil","Male","iOS","Control","1","176.83"
"1047639","Brazil","Female","iOS","Control","1","176.67"
"1015612","USA","Male","iOS","Control","1","175.00"
"1038756","Brazil","Male","Android","Control","1","174.74"
"1033523","USA","Female","iOS","Control","1","174.00"
"1025845","USA","Other","Android","Control","1","173.67"
"1003816","Brazil","","Android","Control","1","173.55"
"1003440","USA","Female","iOS","Treatment","1","172.96"
"1002988","USA","Female","iOS","Control","1","171.62"
"1044812","USA","","Android","Control","1","171.50"
"1041273","USA","Male","iOS","Treatment","1","170.49"
"1021171","USA","Other","Android","Treatment","1","169.50"
"1014953","Brazil","Female","iOS","Control","1","169.37"
"1033250","Brazil","Female","iOS","Control","1","168.85"
"1032045","Brazil","Male","iOS","Control","1","168.01"
"1023864","","Other","iOS","Treatment","1","167.86"
"1029080","USA","Male","iOS","Control","1","166.71"
"1000200","USA","Female","iOS","Control","1","166.32"
"1032735","USA","Female","iOS","Control","1","166.06"
"1017566","United Kingdom","Female","Android","Control","1","165.14"
"1025283","Australia","Female","iOS","Treatment","1","164.58"
"1003663","Brazil","","iOS","Control","1","164.36"
"1015344","Mexico","Female","Android","Control","1","163.56"
"1024350","USA","Female","Android","Control","1","163.42"
"1032065","USA","Female","Android","Control","1","163.32"
