"user_id","test_group","join_date","purchase_date","converted","total_spent"
"1041787","A","2023-01-26","2023-01-26","1","1659.40"
"1022805","B","2023-01-27","2023-02-01","1","1546.30"
"1008085","A","2023-01-25","2023-01-27","1","1266.80"
"1009288","B","2023-01-25","2023-01-25","1","1094.80"
"1001037","B","2023-01-31","2023-01-31","1","879.10"
"1023745","B","2023-02-03","2023-02-05","1","872.90"
"1009810","A","2023-01-25","2023-01-25","1","854.80"
"1003941","A","2023-01-27","2023-01-27","1","844.70"
"1017574","B","2023-01-29","2023-01-29","1","831.60"
"1008198","B","2023-02-03","2023-02-03","1","771.90"
"1016433","B","2023-02-05","2023-02-05","1","765.10"
"1013863","B","2023-01-31","2023-01-31","1","761.10"
"1019907","A","2023-01-25","2023-01-25","1","745.80"
"1016223","A","2023-01-26","2023-01-26","1","682.30"
"1020325","A","2023-02-05","2023-02-05","1","615.20"
"1038098","B","2023-01-28","2023-01-28","1","579.10"
"1022692","A","2023-01-30","2023-01-30","1","523.60"
"1025097","B","2023-01-28","2023-01-28","1","504.20"
"1009232","A","2023-01-28","2023-02-02","1","454.20"
"1049659","A","2023-01-25","2023-01-25","1","447.60"
"1027401","B","2023-01-25","2023-01-25","1","425.90"
"1043835","A","2023-02-01","2023-02-01","1","425.40"
"1049704","A","2023-01-27","2023-01-27","1","405.80"
"1018502","A","2023-01-26","2023-01-26","1","400.90"
"1048541","B","2023-01-26","2023-01-26","1","375.80"
"1044543","B","2023-02-06","2023-02-06","1","351.50"
"1019940","A","2023-02-02","2023-02-02","1","335.10"
"1046581","A","2023-02-03","2023-02-04","1","333.79"
"1025097","B","2023-01-28","2023-01-31","1","332.48"
"1030201","B","2023-01-25","2023-01-25","1","315.80"
"1001425","B","2023-01-25","2023-01-25","1","309.80"
"1011140","A","2023-01-26","2023-01-26","1","291.90"
"1002163","A","2023-02-02","2023-02-02","1","274.29"
"1036281","B","2023-01-27","2023-01-27","1","267.80"
"1042424","B","2023-02-03","2023-02-05","1","262.29"
"1003488","A","2023-01-26","2023-01-26","1","255.66"
"1035052","B","2023-01-25","2023-01-25","1","248.97"
"1027975","A","2023-02-01","2023-02-01","1","248.20"
"1016281","B","2023-01-26","2023-01-26","1","248.11"
